X1,X2,X3,Result
0.336012,0.002179,0.00014,5529.730957
0.286002,0.002218,0.00012,5471.368652
0.466174,0.006709,0.00050,8496.756836
0.326068,0.002105,0.00011,5099.246582
0.304346,0.007213,0.00012,5614.258301
0.367745,0.011177,0.00100,6931.200684
0.359885,0.002003,0.00029,5926.366699
0.244534,0.001934,0.00081,5124.109375
0.473006,0.002288,0.00058,8266.123047
0.243051,0.002894,0.00029,5902.306152
0.247802,0.005736,0.00012,5733.600098
0.317208,0.001934,0.00012,5310.174316
0.415757,0.002013,0.00011,5623.552246
0.327457,0.004532,0.00014,5980.283691
0.493869,0.002563,0.00014,8862.070312
0.263695,0.005853,0.00011,5891.132324
0.326068,0.002105,0.00011,6253.170410
0.256068,0.001843,0.00077,5698.145508
0.363507,0.001652,0.00010,5640.559082
0.280984,0.002526,0.00043,5415.294922
0.251344,0.001949,0.00010,5418.728516
0.315082,0.002315,0.00013,6292.827148
0.206762,0.002454,0.00009,5437.641113
0.243994,0.002522,0.00013,5308.294922
0.353657,0.002083,0.00029,5682.708496
0.272127,0.005553,0.00012,6527.701660
0.258425,0.004790,0.00012,5929.300781
0.348467,0.002436,0.00010,5723.506836
0.244150,0.001815,0.00010,5160.111328
0.250089,0.001728,0.00033,4724.825195
0.319128,0.007367,0.00012,6439.472168
0.296517,0.002162,0.00098,5396.515625
0.504726,0.002293,0.00010,7655.278809
0.350768,0.001955,0.00014,5239.063477
0.342650,0.002522,0.00080,5662.442871
0.428793,0.002221,0.00013,6951.750488
0.250339,0.002245,0.00011,5645.765137
0.462322,0.001563,0.00072,6681.895508
0.314194,0.002524,0.00012,5215.259766
0.328912,0.005904,0.00055,7048.271484
0.350031,0.002015,0.00045,6155.937012
0.250089,0.001728,0.00033,5373.125488
0.214714,0.001596,0.00008,5466.831543
0.349737,0.002810,0.00014,5993.871582
0.289545,0.001614,0.00017,5719.060547
0.291340,0.003012,0.00016,4904.430176
0.270479,0.002352,0.00089,5676.465332
0.205667,0.002035,0.00007,5177.606445
0.354826,0.002068,0.00012,5302.509766
0.249345,0.002518,0.00033,5705.704590
0.294840,0.002027,0.00051,5014.349121
0.260171,0.001659,0.00094,5013.450195
0.408047,0.001577,0.00039,6860.127441
0.235658,0.002420,0.00027,5479.334473
0.345511,0.002557,0.00011,5867.095703
0.204682,0.001814,0.00009,5628.155762
0.242086,0.001742,0.00034,4997.729004
0.212231,0.001502,0.00028,5497.368164
0.358702,0.001633,0.00012,5954.131836
0.314398,0.001791,0.00015,5816.973633
0.233539,0.001843,0.00085,5202.267090
0.291925,0.001832,0.00037,5325.072754
0.321800,0.002377,0.00010,5111.501953
0.252481,0.001712,0.00033,5355.470215
0.320646,0.002258,0.00071,5431.246582
0.248401,0.002260,0.00012,4997.463379
0.291340,0.003012,0.00016,5878.539551
0.229092,0.002084,0.00013,5236.360840
0.281461,0.001459,0.00040,5048.681641
0.248596,0.001585,0.00098,5698.098145
0.350099,0.001647,0.00041,6296.362793
0.323212,0.002388,0.00010,5821.894531
0.321986,0.001665,0.00016,5542.024414
0.235755,0.002688,0.00079,5886.625488
0.238382,0.001466,0.00022,5257.208984
0.244051,0.001490,0.00016,5212.938477
0.336522,0.002746,0.00098,6527.448730
0.295008,0.002974,0.00037,5777.249023
0.242285,0.002448,0.00060,5431.816406
0.297814,0.002068,0.00072,5770.058105
0.234201,0.002084,0.00019,5317.211426
0.201934,0.003191,0.00015,5831.777344
0.278804,0.001763,0.00013,5057.867676
0.330745,0.002670,0.00024,6150.380371
0.300291,0.002688,0.00019,5415.231934
0.314964,0.003256,0.00011,5932.202148
0.292156,0.001591,0.00007,5902.686035
0.300847,0.002611,0.00008,5580.443848
0.259720,0.001537,0.00084,5295.711914
0.392593,0.003333,0.00036,6441.255371
0.168581,0.002402,0.00027,5784.640137
0.281461,0.001459,0.00040,5460.406738
0.293405,0.001671,0.00013,5428.034180
0.239182,0.001520,0.00017,5330.037598
0.223879,0.002131,0.00013,5279.549316
0.191519,0.001754,0.00026,5009.576172
